Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Otto Lopez","MIA",115.405,463.1,427.894,114.295,82.9911,21.5134,2.90512,6.88507,52.736,42.6568,26.2224,0.690792,83.2291,3.72068,2.9895,2.27306,10.2563,15.6448,3.88987,0.26711,0.0566235,0.179722,0.315062,0.312998,0.379237,0.302446,0.692235,0.112128,5.88098,0.315197,,0.667674,51.2902,-2.88239,90.6114,0.667674,0.51,-4.531550586223602,2.397266149520874,1.37229,326.489990234375,,,,,,,466.3,4.054782608,466.3,4.054782608,,,,,,,,,,,,,,,,,,,"Otto Lopez","19608",672640
"Matt Vierling","DET",116.378,479.527,434.864,110.025,73.62,22.0056,2.80749,11.5922,55.4405,49.4919,35.8862,0.514312,96.6317,4.2873,3.8221,0.66768,8.56451,7.94346,2.37774,0.253011,0.0748367,0.201515,0.371371,0.313659,0.396498,0.309825,0.710157,0.143487,5.01046,0.297865,,-0.268352,55.9573,-0.136826,102.918,-0.268352,-1.34,1.3328847885131836,-4.08675754070282,1.36651,327.4700012207031,,,,,,,504.3,4.347413793,504.3,4.347413793,,,,,,,,,,,,,,,,,,,"Matt Vierling","21558",663837
"Leody Taveras","TEX",96.493,371.689,338.612,81.7672,53.5899,15.3022,2.15281,10.7223,47.4943,36.5502,27.3659,0.973141,82.678,1.2819,2.70675,1.72258,5.35812,14.7833,3.61001,0.241478,0.0736257,0.222439,0.330993,0.298446,0.39438,0.300702,0.692826,0.152903,6.3235,0.286566,,0.853199,40.6444,-2.83509,95.3281,0.853199,0.63,-1.1337095499038696,1.8354532718658447,1.35213,453.9599914550781,,,,,,,379.8,3.95625,379.8,3.95625,,,,,,,,,,,,,,,,,,,"Leody Taveras","18900",665750
"Paul Goldschmidt","NYY",141.695,607.259,545.213,132.618,83.9455,24.7896,1.28287,22.5996,71.7646,73.2091,53.4482,1.43651,154.344,3.19454,4.1289,0.605349,10.5397,7.07972,2.65054,0.24324,0.0880155,0.254166,0.346292,0.312319,0.417767,0.316958,0.730085,0.174527,3.71326,0.295431,,-0.755786,74.3493,3.31336,106.739,-0.755786,-0.13,3.9268481135368347,-11.207431674003601,1.33876,177.8699951171875,,,,,,,667.1,4.697887323,667.1,4.697887323,,,,,,,,,,,,,,,,,,,"Paul Goldschmidt","9218",502671
"Jasson Domínguez","NYY",129.297,521.718,469.613,113.566,74.6639,21.2664,2.17608,15.4594,64.8919,53.6047,45.2378,2.04601,128.224,3.48785,2.80046,0.578976,8.74188,19.2355,4.48775,0.241828,0.0867092,0.245773,0.352802,0.311417,0.395139,0.308098,0.706555,0.153311,5.78282,0.29844,,1.07184,60.1558,-0.873776,100.507,1.07184,-0.09,1.374448984861374,-5.881306499242783,1.33072,144.92999267578125,,,,,,,550.6,4.268217054,550.6,4.268217054,,,,,,,,,,,,,,,,,,,"Jasson Dominguez","28080",691176
"Brice Turang","MIL",139.493,566.566,512.38,124.638,92.4408,21.927,4.2256,6.04423,64.6061,44.9634,45.0383,1.23976,106.332,2.18794,4.06743,2.89244,8.39799,34.0999,5.68875,0.243252,0.0794935,0.187678,0.423564,0.3049,0.33793,0.28426,0.64283,0.0946776,7.01308,0.293496,,3.42347,54.4567,-11.8191,80.6212,3.42347,1.35,-9.705761671066284,3.658284306526184,1.32399,147.1300048828125,,,,,,,519.8,3.739568345,519.8,3.739568345,,,,,,,,,,,,,,,,,,,"Brice Turang","22186",668930
"Christian Vázquez","MIN",80.376,294.791,270.957,61.7083,45.3776,10.9357,0.306577,5.0884,27.0847,27.1065,15.3006,0.26512,60.4206,1.59071,2.02179,1.66365,5.82774,2.80094,1.61719,0.227742,0.0519033,0.204961,0.253235,0.271155,0.326703,0.262951,0.597858,0.0989606,3.22053,0.272907,,-0.584144,23.2785,-11.2055,69.4318,-0.584144,7.7,-10.89486539363861,13.637942790985107,1.29821,651.97998046875,,,,,,,206.2,2.5775,206.2,2.5775,,,,,,,,,,,,,,,,,,,"Christian Vazquez","9774",543877
"Spencer Steer","CIN",135.655,568.041,500.495,122.761,75.1873,26.875,2.12873,18.5696,70.057,67.2093,54.3481,0.0662904,115.603,8.2023,4.54669,0.448986,8.29235,12.5296,3.70335,0.245279,0.0956764,0.203512,0.470126,0.326486,0.418789,0.325564,0.745276,0.173511,5.03075,0.280938,,-0.0805309,73.4824,7.03409,102.319,-0.0805309,1.32,1.4948414713144302,-7.908833146095276,1.29121,136.16000366210938,,,,,,,656.6,4.827941176,656.6,4.827941176,,,,,,,,,,,,,,,,,,,"Spencer Steer","26323",668715
"Isiah Kiner-Falefa","PIT",124.362,489.614,453.157,118.77,91.6283,18.903,2.18481,6.05414,54.0633,43.0914,23.4667,0.0289117,77.3332,6.55482,3.22708,2.68873,11.3135,15.7019,4.91622,0.262095,0.0479289,0.157947,0.303449,0.305901,0.353532,0.290428,0.659433,0.0914364,5.53654,0.302191,,0.189389,49.4907,-7.78342,82.5576,0.189389,0.44,-10.022875681519508,6.003153741359711,1.26876,362.07000732421875,,,,,,,442.7,3.57016129,442.7,3.57016129,,,,,,,,,,,,,,,,,,,"Isiah Kiner-Falefa","16512",643396
"Connor Wong","BOS",105.162,398.212,365.883,86.8815,56.8117,16.8035,1.93538,11.331,45.7269,42.3312,22.8308,0.0575735,106.752,4.87929,2.87094,1.74766,6.30196,7.68267,2.22265,0.237457,0.0573333,0.268079,0.213867,0.289034,0.386868,0.294343,0.675902,0.149411,5.14368,0.301393,,-0.0302792,41.5065,-5.07561,85.0418,-0.0302792,-2.27,-6.84579186886549,5.8443522453308105,1.26754,230.24000549316406,,,,,,,378.9,3.608571428,378.9,3.608571428,,,,,,,,,,,,,,,,,,,"Connor Wong","19896",657136
"Yasmani Grandal",,54.793,200.316,174.018,37.9902,26.6057,6.65186,0.000270542,4.73242,19.5989,20.51,20.4945,0.352035,45.0677,1.11353,1.30959,0.586225,4.28659,0.437078,0.268587,0.218312,0.102311,0.224983,0.454748,0.302628,0.338125,0.285811,0.640753,0.119813,1.90486,0.264944,,-0.399108,19.5038,-3.92882,83.2928,-0.399108,5.59,-4.314805656671524,9.817854881286621,1.25764,742.2899780273438,,,,,,,169.1,3.074545454,169.1,3.074545454,,,,,,,,,,,,,,,,,,,"Yasmani Grandal","11368",518735
"Josh Naylor","ARI",140.375,596.411,534.173,138.033,89.4468,27.927,1.10467,19.5546,70.8602,79.737,50.0067,5.15949,90.9848,6.70248,5.02467,0.503846,13.4168,6.94096,2.84491,0.258405,0.0838461,0.152554,0.549617,0.3268,0.424643,0.32411,0.751443,0.166238,3.68743,0.276394,,-0.876818,76.4544,6.68737,106.18,-0.876818,0.08,3.530894160270691,-11.398798868060112,1.23863,104.58000183105469,,,,,,,689.6,4.925714285,689.6,4.925714285,,,,,,,,,,,,,,,,,,,"Josh Naylor","18839",647304
"Yoán Moncada","LAA",110.196,446.438,400.871,95.0986,60.2779,19.7936,1.19636,13.8308,50.1426,49.2948,38.1899,0.994177,120.905,3.93817,2.57313,0.865948,7.64492,3.00113,1.05718,0.23723,0.0855435,0.270822,0.315866,0.307979,0.396081,0.307475,0.704059,0.158851,3.57359,0.302439,,-0.62832,51.2517,-0.971765,98.3026,-0.62832,-0.08,-1.4953622221946716,-1.4631185084581375,1.23146,461.6499938964844,,,,,,,455.2,4.138181818,455.2,4.138181818,,,,,,,,,,,,,,,,,,,"Yoan Moncada","17232",660162
"Michael Massey","KCR",116.738,464.895,425.856,103.382,63.8563,23.7034,1.97397,13.8486,51.4593,55.7004,27.4414,0.923519,90.7329,5.44088,4.1181,2.03901,6.61876,4.90221,1.56949,0.242764,0.0590271,0.195169,0.302442,0.294399,0.405253,0.302539,0.699652,0.162489,4.37299,0.275156,,-0.411425,51.524,-2.85854,92.1345,-0.411425,0.47,-4.595392674207687,1.0055846869945526,1.2298,384.510009765625,,,,,,,463.3,3.959829059,463.3,3.959829059,,,,,,,,,,,,,,,,,,,"Michael Massey","27684",686681
"Tyler Fitzgerald","SFG",133.231,532.292,486.856,111.685,70.2695,22.3649,3.91468,15.1356,64.5006,52.1892,33.4135,0.0321132,165.704,6.60144,3.39465,2.02624,6.11642,17.7322,3.74898,0.2294,0.0627729,0.311302,0.201646,0.286082,0.384684,0.292357,0.670766,0.155284,6.55695,0.312041,,1.15793,54.6311,-7.63539,88.4098,1.15793,0.03,-6.219455599784851,0.37267222814261913,1.22684,244.24000549316406,,,,,,,510.8,3.840601503,510.8,3.840601503,,,,,,,,,,,,,,,,,,,"Tyler Fitzgerald","26208",666149
"Ke'Bryan Hayes","PIT",125.433,521.942,480.743,120.768,86.181,22.0507,1.65354,10.8824,58.2314,53.6433,33.2497,0.489185,100.217,3.40017,4.02717,0.522004,10.7727,13.1382,5.04607,0.251211,0.0637039,0.192008,0.331778,0.301902,0.371868,0.29487,0.673769,0.120657,4.82991,0.29407,,-0.38163,54.6246,-6.43115,85.5476,-0.38163,1.93,-9.401995241641998,3.865694284439087,1.22331,339.55999755859375,,,,,,,493.9,3.9512,493.9,3.9512,,,,,,,,,,,,,,,,,,,"Ke'Bryan Hayes","18577",663647
"Adolis García","TEX",142.808,607.118,547.832,123.66,71.7201,23.3225,1.66349,26.9542,76.0939,75.238,47.7841,1.6238,170.704,6.49495,4.54166,0.465344,8.28286,11.932,4.11016,0.225727,0.0787065,0.281172,0.279923,0.293314,0.421977,0.308864,0.715291,0.19625,4.79529,0.272631,,-0.259869,70.3771,-0.642409,101.07,-0.259869,-1.09,0.4831387400627136,-9.003743052482605,1.21021,153.52999877929688,,,,,,,651.9,4.558741258,651.9,4.558741258,,,,,,,,,,,,,,,,,,,"Adolis Garcia","19287",666969
"Gary Sánchez","BAL",66.846,248.321,219.044,46.6118,26.9575,8.27925,0,11.375,27.8007,33.2854,22.4364,0.248463,68.105,3.96735,1.62984,0.214879,4.27423,0.197061,0.089053,0.212796,0.0903523,0.274262,0.329438,0.295516,0.406384,0.306352,0.7019,0.193588,1.68664,0.249562,,-0.415843,28.2831,-0.764963,101.909,-0.415843,2.23,0.1265462040901184,3.2615740299224854,1.20484,509.1499938964844,,,,,,,248.8,3.713432835,248.8,3.713432835,,,,,,,,,,,,,,,,,,,"Gary Sanchez","11442",596142
