Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Ashby","MIL",3.4658,3.4637,2.1155,3.87858,41.86,4.86,0,0.5961,,63.8901,277.498,59.2593,30.1991,27.5336,6.11215,31.3814,0.8184,3.0525,62.0985,8.74762,4.4206,1.97883,0.861,0.22378,0.113087,0.11069305986166,0.243801,1.4187,0.303953,0.736341,0.520938,,4.0831,0.376044,0.613871,458.2900085449219,,,,,,,272.4,4.25625,268,4.1875,6.87401,5.63037,4.87303,4.30674,3.83465,3.42098,3.02152,2.61626,2.14259,4.95199,4.68778,4.50936,4.35515,4.22095,4.09095,3.95674,3.80832,3.5999,"Aaron Ashby","23550",676879
"Dedniel Núñez","NYM",2.6837,2.1139,0,3.46334,49,0,0,4.3897,,49,204.935,41.4679,20.4835,18.856,5.56422,17.8441,1.1985,1.6635,54.4408,9.99933,3.27749,3.05091,1.022,0.265649,0.087072,0.17857710272073746,0.223634,1.21045,0.286262,0.753628,0.412515,,3.61497,0.374062,0.47493,739.239990234375,,,,,,,246.20000000000002,5.024489795918368,231,4.714285714285714,5.85,4.89,4.29,3.84,3.46,3.12,2.79,2.45,2.04,4.5,4.22,4.02,3.86,3.72,3.58,3.44,3.28,3.08,"Dedniel Nunez","23055",673380
"Taylor Rogers","CIN",3.1222,2.9458,0,3.98499,62,0,3.173,13.3154,,62,265.525,56.2628,29.5796,27.4522,8.45956,24.4469,1.6162,3.202,68.6681,9.96795,3.54874,2.80887,1.228,0.258613,0.0920701,0.16654252260923386,0.236521,1.30177,0.297379,0.742454,0.419281,,4.06301,0.36941,0.413521,564.6699829101562,,,,,,,338.79999999999995,5.4645161290322575,330,5.32258064516129,6.3,5.41,4.85,4.41,4.04,3.71,3.37,3.02,2.6,5.03,4.75,4.56,4.4,4.26,4.12,3.98,3.82,3.6,"Taylor Rogers","13449",573124
"Quinn Priester","BOS",2.3748,2.2563,0.6793,3.91871,37.62,1.62,0,0.6427,,45.0425,190.707,45.4817,21.4238,19.612,4.61435,13.6081,0.7796,2.0827,39.3719,7.86695,2.71905,2.89327,0.922,0.206452,0.0713561,0.1350962370634079,0.259871,1.31187,0.311893,0.71568,0.523308,,3.79511,0.36607,0.470589,722.4199829101562,,,,,,,188.5,4.188888888888889,194,4.311111111111111,6.79,5.52,4.75,4.18,3.71,3.29,2.89,2.49,2.02,4.78,4.54,4.38,4.24,4.12,3.99,3.87,3.73,3.54,"Quinn Priester","25977",682990
"Jesus Tinoco","MIA",3.0907,3.1715,0,3.80601,64,0,6.493,10.3151,,64,271.993,58.7437,29.3489,27.065,7.12533,23.8922,1.5145,2.8227,65.2272,9.17257,3.35984,2.73006,1.002,0.239812,0.0878412,0.15197083353996277,0.239498,1.29119,0.2985,0.73337,0.438667,,3.82772,0.361635,0.534888,426.75,,,,,,,353.1,5.5171875,348,5.4375,6.09,5.22,4.67,4.24,3.88,3.55,3.23,2.88,2.47,4.9,4.61,4.4,4.24,4.09,3.94,3.79,3.62,3.4,"Jesus Tinoco","16300",622786
"Joe Ross","PHI",3.2752,3.1104,0.6261,4.01119,55.62,1.62,0,6.3156,,62.91,267.014,60.2068,30.2498,28.0382,8.44392,21.1755,4.0279,2.7347,57.5448,8.23245,3.0294,2.71752,1.208,0.215512,0.0793048,0.1362074613571167,0.247659,1.29363,0.292256,0.735076,0.417585,,4.22215,0.359849,0.462402,744.219970703125,,,,,,,279.80000000000007,4.441269841269842,279,4.428571428571429,6.78747,5.60944,4.9033,4.36966,3.93584,3.5376,3.16644,2.78094,2.33112,5.07189,4.78906,4.59622,4.43481,4.29339,4.15197,4.01056,3.84773,3.63489,"Joe Ross","12972",605452
"Jonathan Loáisiga","NYY",2.0999,1.8158,0,3.65259,40,0,0,0.6594,,40,168.848,38.7461,17.8321,16.2337,4.20889,12.1764,1.0463,1.6041,35.2856,7.93926,2.73969,2.89787,0.947,0.208978,0.0721146,0.13686390966176987,0.249866,1.27306,0.298835,0.734851,0.509048,,3.80363,0.35973,0.243196,999,,,,,,,177.4,4.4350000000000005,180,4.5,6.36,5.26,4.58,4.08,3.66,3.28,2.91,2.54,2.1,4.77,4.48,4.28,4.12,3.97,3.83,3.68,3.52,3.31,"Jonathan Loaisiga","19753",642528
"Michael Grove","LAD",2.393,1.9149,0,3.65809,44,0,0,0.7121,,44,182.421,39.487,19.2941,17.884,5.66622,12.8118,1.3299,1.9587,47.1294,9.6401,2.6206,3.67859,1.159,0.258355,0.070232,0.18812306970357895,0.235532,1.18861,0.294465,0.743917,0.415135,,3.70543,0.358665,0.394108,999,,,,,,,203.4,4.622727272727273,195,4.431818181818182,6.16,5.14,4.5,4.02,3.62,3.26,2.91,2.55,2.13,4.63,4.37,4.19,4.05,3.91,3.78,3.65,3.5,3.3,"Michael Grove","23221",675627
"Albert Suárez","BAL",3.72,3.4453,0.6268,3.96556,63.62,1.62,0,7.8662,,70.8592,297.686,67.8194,33.4964,31.2218,10.1014,19.0142,1.8769,2.5515,68.2903,8.67372,2.41504,3.59154,1.283,0.229404,0.0638733,0.16553045064210892,0.245615,1.22544,0.291905,0.733746,0.377056,,4.00525,0.356869,0.370621,676.0700073242188,,,,,,,327.59999999999997,4.614084507042253,327,4.605633802816901,6.55383,5.46504,4.80877,4.31126,3.90125,3.52624,3.17623,2.81373,2.37622,4.97627,4.70377,4.51252,4.36002,4.21877,4.08752,3.94627,3.78502,3.58127,"Albert Suarez","6175",544150
"Angel Zerpa","KCR",3.0601,2.7153,0,3.65958,59,0,0,11.8274,,59,249.155,57.1262,26.257,23.9906,5.69022,19.7934,1.3736,2.5733,53.111,8.10168,3.01933,2.68327,0.868,0.213164,0.0794421,0.13372237980365753,0.251892,1.30372,0.30619,0.734738,0.488073,,3.75717,0.356535,0.59481,999,,,,,,,299.6,5.077966101694916,302,5.11864406779661,5.99,5.1,4.54,4.11,3.75,3.42,3.09,2.75,2.35,4.71,4.44,4.26,4.11,3.97,3.84,3.7,3.55,3.35,"Angel Zerpa","22717",672582
"Jorge Alcala","MIN",3.1227,3.0427,0,3.98759,63,0,0,12.1091,,63,268.085,56.1038,29.9109,27.9131,8.302,24.607,1.4187,2.6688,68.0389,9.71984,3.51529,2.76502,1.186,0.253796,0.0917881,0.16200795769691467,0.23298,1.28112,0.290644,0.735293,0.370407,,4.01847,0.35474,0.223219,999,,,,,,,322.20000000000005,5.114285714285715,311,4.936507936507937,6.31,5.4,4.83,4.39,4.01,3.67,3.33,2.98,2.55,5.04,4.75,4.55,4.38,4.23,4.09,3.94,3.77,3.55,"Jorge Alcala","19459",660896
"Bryce Elder","ATL",2.7357,2.5643,2.7632,4.23607,15.48,6.48,0,0.6188,,45.1451,195.228,47.3669,23.1354,21.2487,5.18667,14.6362,0.3564,1.8223,37.2154,7.41916,2.91783,2.5427,1.034,0.190625,0.0749698,0.11565554141998291,0.264961,1.37342,0.309313,0.710019,0.499652,,4.10504,0.353266,0.423795,746.6500244140625,,,,,,,176.3,3.9177777777777782,187,4.155555555555556,7.47653,6.06332,5.22146,4.60295,4.09611,3.64444,3.22361,2.79927,2.30011,5.21964,4.9918,4.82614,4.69614,4.5783,4.46047,4.33264,4.19481,4.00914,"Bryce Elder","27779",693821
"Keaton Winn","SFG",2.9168,2.6785,0.7153,3.53765,47.62,1.62,0,0.6315,,54.7987,229.092,51.3185,23.6051,21.5398,5.54685,15.1344,0.9916,2.7905,52.3669,8.60061,2.48564,3.46012,0.911,0.228585,0.0660625,0.16252205520868301,0.243023,1.21267,0.298667,0.730103,0.486948,,3.55244,0.351686,0.468338,712.3800048828125,,,,,,,254.6,4.629090909090909,251,4.5636363636363635,6,4.96,4.32,3.84,3.44,3.09,2.74,2.39,1.98,4.46,4.2,4.02,3.88,3.75,3.62,3.49,3.34,3.15,"Keaton Winn","23499",676775
"Tim Herrin","CLE",3.2258,2.8433,0,3.49174,62,0,0,13.6491,,62,262.489,54.5012,26.3247,24.0542,6.02778,25.1956,1.4072,2.9409,66.7671,9.692,3.65743,2.64995,0.875,0.254361,0.0959873,0.15837422013282776,0.232561,1.28543,0.300038,0.748999,0.468844,,3.63803,0.349414,0.532049,750.6199951171875,,,,,,,347.99999999999994,5.612903225806451,338,5.451612903225806,5.72,4.87,4.33,3.92,3.57,3.25,2.94,2.62,2.23,4.52,4.25,4.07,3.92,3.78,3.65,3.52,3.37,3.17,"Tim Herrin","25139",682120
"Shawn Armstrong","TEX",3.0636,2.9065,0,4.0325,61,0,1.01,12.1667,,61,257.928,57.5962,29.3319,27.3314,8.174,19.2941,1.3779,2.7085,59.5657,8.78838,2.84667,3.08725,1.206,0.230939,0.0748042,0.15613504499197006,0.244129,1.2605,0.293855,0.726674,0.390501,,4.0376,0.343291,0.227007,999,,,,,,,309.2000000000001,5.068852459016395,308,5.049180327868853,6.35,5.45,4.89,4.45,4.08,3.73,3.4,3.05,2.62,5.05,4.78,4.59,4.43,4.29,4.16,4.02,3.86,3.65,"Shawn Armstrong","12857",542888
"Brock Burke","LAA",3.2763,3.1827,0,3.98372,66,0,1.067,15.7662,,66,280.255,61.2389,31.4393,29.2139,9.10067,24.0523,1.8858,2.5932,66.0944,9.01287,3.27986,2.74795,1.241,0.235837,0.0858229,0.150013729929924,0.241469,1.29229,0.292231,0.74227,0.40199,,4.16733,0.332842,0.375623,999,,,,,,,339.10000000000014,5.13787878787879,333,5.045454545454546,6.24,5.38,4.83,4.41,4.05,3.72,3.39,3.05,2.63,5.03,4.75,4.55,4.39,4.25,4.11,3.97,3.81,3.59,"Brock Burke","17968",656271
"Braxton Ashcraft","PIT",2.4728,2.7034,1.4023,4.12597,33.24,3.24,0,0.6021,,48.468,205.297,49.0876,23.9494,22.2197,6.19852,13.0392,0.782,1.8278,41.3048,7.66987,2.42124,3.16774,1.151,0.201195,0.0635138,0.1376814916729927,0.257772,1.28181,0.300077,0.714279,0.419637,,4.04484,0.329692,0.348269,999,,,,,,,195.00000000000003,4.062500000000001,203,4.229166666666667,7.45726,5.97579,5.10053,4.44957,3.91622,3.45431,3.01383,2.56953,2.06524,5.26529,4.95767,4.74005,4.56005,4.40243,4.24862,4.09481,3.911,3.68338,"Braxton Ashcraft","sa3008470",677952
"José Suarez","LAA",3.5146,3.4514,0.6066,3.95618,61.62,1.62,0,10.3949,,68.7843,290.831,64.2024,32.5164,30.2359,9.69094,23.484,2.8243,3.0866,67.3448,8.81165,3.07274,2.86769,1.268,0.23156,0.0807479,0.15081199258565903,0.242951,1.2748,0.291155,0.744343,0.395025,,4.19876,0.327627,0.430891,999,,,,,,,317.20000000000005,4.597101449275363,311,4.507246376811594,6.57548,5.47093,4.80983,4.30959,3.89106,3.52147,3.1621,2.79783,2.35868,4.91727,4.66472,4.49344,4.35089,4.22089,4.09834,3.96706,3.8245,3.63195,"Jose Suarez","19911",660761
"Gabe Speier","SEA",2.9602,2.7168,0,3.46094,58,0,0,9.8461,,58,242.475,50.6628,24.3239,22.3038,6.438,20.1819,1.5695,2.6396,60.238,9.34728,3.13167,2.98475,0.999,0.24843,0.0832329,0.16519682109355927,0.230649,1.22146,0.289093,0.75238,0.439988,,3.71273,0.32523,0.417834,999,,,,,,,313.80000000000007,5.410344827586208,303,5.224137931034483,5.73,4.84,4.29,3.87,3.51,3.18,2.87,2.54,2.15,4.51,4.22,4.03,3.88,3.73,3.6,3.46,3.3,3.1,"Gabe Speier","17170",642100
"Jose A. Ferrer","WSN",3.0816,2.986,0,3.70178,62,0,3.472,11.312,,62,262.601,59.0848,27.9471,25.5012,6.25511,22.7922,1.5528,2.6751,52.9413,7.68503,3.30855,2.32278,0.908,0.201604,0.086794,0.1148095354437828,0.249162,1.3206,0.296901,0.737555,0.493395,,4.00254,0.324123,0.486391,590.4000244140625,,,,,,,318.5999999999999,5.138709677419353,319,5.145161290322581,6.03,5.15,4.59,4.17,3.8,3.47,3.15,2.81,2.4,4.81,4.52,4.33,4.16,4.02,3.88,3.73,3.57,3.35,"Jose A. Ferrer","24017",678606
"Wade Miley","CIN",2.9075,3.6875,3.5337,4.78957,9.72,9.72,0,0,,53.2269,234.79,59.5186,30.5432,28.326,8.16737,17.9321,0.1064,2.0694,37.8789,6.40485,3.03209,2.11235,1.381,0.161331,0.0763751,0.08495590835809708,0.277103,1.4551,0.304318,0.710543,0.460113,,4.86529,0.323384,0.374399,749.97998046875,,,,,,,153.80000000000007,2.9018867924528315,177,3.339622641509434,7.46,6.45,5.81,5.32,4.89,4.5,4.12,3.71,3.21,5.93,5.64,5.44,5.28,5.13,4.99,4.84,4.67,4.44,"Wade Miley","8779",489119
