Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"David Bednar","PIT",1.90092,1.4419,0,4.06994,57.99,0,21,3.5568,,72.4875,306.566,65.2865,35.11,32.78,7.94089,24.2096,1.76111,3.70057,73.248,9.09442,3.00584,3.02558,0.985936,0.23893,0.0789701,0.1599602922797203,0.234291,1.23464,0.290406,0.693887,,,3.72473,0.722886,0.257226,131.97999572753906,,,,,,,448.4000000000001,6.227777777777779,439,6.097222222222222,,,,,,,,,,,,,,,,,,,"David Bednar","19569",670280
"Matthew Liberatore","STL",2.82441,3.06219,0.411816,4.0917,48.287,4.021,1,12.0778,,70.3204,300.028,65.97,34.25,31.97,6.87854,24.7725,1.59515,3.21258,62.736,8.0293,3.17052,2.53249,0.880354,0.2091,0.0825672,0.1265331283211708,0.242498,1.29041,0.291913,0.69647,,,3.84771,0.718458,0.471715,688.4000244140625,,,,,,,355.29999999999995,5.075714285714285,354,5.057142857142857,,,,,,,,,,,,,,,,,,,"Matthew Liberatore","22294",669461
"Brady Basso","ATH",1.31305,1.00088,0,3.7198,32.787,3.354,0,4.619,,58.866,245.17,50.7208,26.16,24.33,6.98203,18.6288,1.46322,2.42383,61.0177,9.32898,2.84815,3.27545,1.06748,0.24888,0.0759834,0.17289629578590393,0.226314,1.17809,0.280166,0.724965,,,3.7082,0.711277,0.686756,750.0499877929688,,,,,,,296.9,5.032203389830508,283,4.796610169491525,,,,,,,,,,,,,,,,,,,"Brady Basso","25582",669620
"Jeff Hoffman","TOR",2.32196,1.8276,0,3.94026,60.465,0,25,3.9399,,75.5813,319.509,60.4684,35.49,33.09,9.92204,31.7248,1.59564,4.17701,95.44,11.3647,3.7777,3.00837,1.18149,0.298709,0.0992925,0.19941607117652893,0.213212,1.21979,0.283578,0.724157,,,3.77261,0.710593,0.473194,103.5999984741211,,,,,,,506.4,6.663157894736842,473,6.223684210526316,,,,,,,,,,,,,,,,,,,"Jeff Hoffman","17432",656546
"Ryan Pressly","CHC",2.33701,1.48919,0,3.68971,56.063,0,23,5.2818,,70.0788,292.648,65.0792,30.9,28.73,6.63324,19.8423,0.872948,2.77594,65.9736,8.47279,2.54829,3.32489,0.851887,0.225437,0.0678027,0.15763413161039352,0.241008,1.2118,0.296045,0.71424,,,3.4824,0.710471,0.564643,157.0500030517578,,,,,,,460.9,6.584285714285714,457,6.5285714285714285,,,,,,,,,,,,,,,,,,,"Ryan Pressly","7005",519151
"Blake Treinen","LAD",2.36675,1.15157,0,3.52051,51.947,0,6,13.9598,,64.9337,270.913,54.145,27.38,25.4,6.38828,23.7426,1.0632,3.22695,70.432,9.76207,3.2908,2.96648,0.885434,0.25998,0.0876395,0.1723409816622734,0.221957,1.19949,0.285758,0.732589,,,3.52211,0.710127,0.711114,461.6000061035156,,,,,,,411.80000000000007,6.3353846153846165,392,6.030769230769231,,,,,,,,,,,,,,,,,,,"Blake Treinen","12572",595014
"Ian Anderson","ATL",4.4099,4.86628,2.5716,4.53603,19.761,13.527,0,0.6188,,76.2099,331.017,76.0125,41.35,38.41,9.19296,31.0378,0.639403,2.66533,61.6287,7.27804,3.66541,1.9856,1.08564,0.18618,0.093765,0.0924149826169014,0.255664,1.40468,0.295019,0.697602,,,4.44401,0.70733,0.557115,558.8400268554688,,,,,,,280.1,3.685526315789474,289,3.8026315789473686,,,,,,,,,,,,,,,,,,,"Ian Anderson","19951",666120
"Joe Mantiply","ARI",2.25944,1.63936,0,3.93014,56.504,0.39,1,11.4553,,70.1425,295.167,69.4156,33,30.63,6.52613,17.6589,1.94254,2.52827,60.3119,7.73863,2.26582,3.41538,0.83737,0.204332,0.0598268,0.14450472593307495,0.252439,1.24139,0.302148,0.693815,,,3.51972,0.706313,0.356556,999,,,,,,,358.5,5.121428571428571,365,5.214285714285714,,,,,,,,,,,,,,,,,,,"Joe Mantiply","14857",573009
"Colin Rea","CHC",5.91763,7.77442,4.62674,4.86133,29.083,18.565,0,0.6254,,116.283,498.792,117.754,67.33,62.81,19.2398,34.945,0.932104,5.35518,88.9881,6.88745,2.70465,2.54652,1.48911,0.178407,0.0700594,0.1083480641245842,0.256829,1.31316,0.281257,0.678806,,,4.82658,0.704872,0.392635,600.5800170898438,,,,,,,379.90000000000003,3.2750000000000004,395,3.4051724137931036,,,,,,,,,,,,,,,,,,,"Colin Rea","12317",607067
"Andrew Chafin","DET",2.0817,1.41516,0,3.60015,48.558,0,1,6.3671,,60.6975,255.909,50.305,26.18,24.28,5.53187,24.7777,1.13736,2.57673,66.975,9.93081,3.67394,2.70304,0.820245,0.261715,0.0968224,0.16489218920469284,0.220101,1.237,0.28692,0.726227,,,3.49644,0.704309,0.598026,999,,,,,,,326.6000000000001,5.354098360655739,306,5.016393442622951,,,,,,,,,,,,,,,,,,,"Andrew Chafin","12988",605177
